"Frase";"Sentimento"
"Os participantes de uma maratona de caridade cruzam a linha de chegada com corações cheios de gratidão e felicidade.";" feliz"
"Esse jogo é frustrante e cheio de bugs. Não recomendo.";" triste"
"O preço deste produto é razoável para o que oferece.";" neutro"
"Essa noite vai ficar marcada no meu coração para sempre.";" feliz"
"O restaurante estava vazio, mas a comida era aceitável.";" neutro"
"A surpresa de um pedido de casamento me emocionou.";" feliz"
"Um pedido de casamento surpresa deixa todos ao redor emocionados e felizes.";" feliz"
"O carrinho de sorvetes permanece fechado, negando consolo e doçura.";" triste"
"Este software é estável, mas não possui muitos recursos.";" neutro"
"A vida selvagem se camufla na vegetação, passando despercebida.";" neutro"
"As árvores oferecem sombra sombria, um refúgio da vida.";" triste"
"No campo, as flores desabrocham em uma explosão de cores, criando um espetáculo visual inesquecível.";" feliz"
"Meu time ganhou o jogo e estou eufórico.";" feliz"
"O aplauso da plateia é uma recompensa, independentemente do conteúdo da peça.";" neutro"
"A maré sobe e desce como as emoções instáveis de um coração partido.";" triste"
"O tráfego nas redes sociais está tranquilo.";" neutro"
"A vegetação à beira do rio é um testemunho silencioso da passagem do tempo e das perdas.";" triste"
"O parque é um espaço onde a solidão reina, como um rei sem súditos.";" triste"
"Em meio à tristeza, encontro razões para celebrar a alegria.";" feliz"
"Um casal assiste ao pôr do sol em um cenário de montanha, apreciando a beleza da natureza juntos.";" feliz"
"Na sala de aula, o ensino é conduzido de maneira imparcial, com foco no aprendizado dos alunos.";" neutro"
"O som suave das folhas das árvores me traz paz e felicidade.";" feliz"
"Meu livro favorito sempre me faz sorrir.";" feliz"
"No campo de batalha abandonado, as lembranças da guerra deixam cicatrizes emocionais nos veteranos.";" triste"
"Os veterinários enfrentam casos difíceis, às vezes incapazes de salvar vidas.";" triste"
"A sala de reuniões parece vazia e os projetos estão congelados.";" triste"
"Um grupo de amigos se reúne para uma noite de jogos de tabuleiro, desfrutando de diversão e risadas.";" feliz"
"A tranquilidade do parque é carregada com tristeza.";" triste"
"A simplicidade do parque oferece uma paleta de experiências.";" neutro"
"Na igreja solitária, velas queimam em memória daqueles que partiram, deixando corações quebrados.";" triste"
"A plateia estava desanimada, e isso afetou o show.";" triste"
"Em um estúdio de fotografia de moda, modelos se preparam para sessões de fotos glamorosas.";" neutro"
"As margens do rio são silenciosas, como se guardassem segredos tristes.";" triste"
"Os bancos estão vazios, a solidão impera.";" triste"
"O chafariz permanece imóvel, suas águas silenciosas como lágrimas não derramadas.";" triste"
"As folhas caem lentamente das árvores no outono, formando um tapete no chão.";" neutro"
"O som do riacho fluindo é como música para os ouvidos.";" feliz"
"Este restaurante é ok, mas nada de especial.";" neutro"
"Uma família comemora o nascimento de um bebê, sentindo-se abençoada e cheia de alegria.";" feliz"
"Um novo dia começa com o canto dos pássaros e o sol nascendo no horizonte, trazendo esperança.";" feliz"
"Os cuidadores fazem o possível para consolar as crianças, mas a tristeza persiste.";" triste"
"No palco do teatro, a cortina desce após uma atuação fracassada.";" triste"
"Os sons da natureza parecem ecoar com uma tristeza profunda e insondável.";" triste"
"A felicidade momentânea não apaga meus receios.";" triste"
"Em uma cafeteria acolhedora, as pessoas desfrutam de café fresco e conversas amigáveis.";" neutro"
"O nascer do sol neste lugar é de tirar o fôlego.";" feliz"
"Em um parque de skate, jovens praticam manobras radicais com habilidade.";" neutro"
"Os patos nadam graciosamente, criando pequenas ondas no lago.";" neutro"
"Os peixes nadam em suas rotinas vazias, como se buscassem um propósito perdido.";" triste"
"Na igreja histórica, os vitrais coloridos iluminam o interior com uma luz suave.";" neutro"
"As margens do rio são lar de uma variedade de plantas e animais.";" neutro"
"As árvores se curvam sob o peso da solidão.";" triste"
"As crianças correm pela grama, seus sorrisos iluminando o parque.";" feliz"
"Na sala de aula, a falta de recursos torna difícil a entrega de uma educação de qualidade.";" triste"
"Em um parque de diversões falido, os brinquedos enferrujados e silenciosos são testemunhas da alegria que se foi.";" triste"
"Reencontrar um velho amigo me deixou radiante.";" feliz"
"Realizei um sonho que tinha desde criança.";" feliz"
"Mal posso esperar para ver a banda novamente!.";" feliz"
"Essa é a melhor compra que já fiz. Produto excelente!.";" feliz"
"As águas do rio fluem tranquilamente, como um espelho da calma.";" neutro"
"No escritório de engenharia, projetos inovadores estão em espera, causando desespero entre os engenheiros.";" triste"
"O falecimento de um parente próximo me entristeceu.";" triste"
"Os instrutores de yoga guiam os alunos em uma jornada de autodescoberta, independentemente de seus desafios pessoais.";" neutro"
"A tristeza pode ser superada com o tempo.";" neutro"
"Em um parque de diversões falido, os brinquedos enferrujados e silenciosos são testemunhas da alegria que se foi.";" triste"
"O vento sussurra segredos tristes, segredos que ecoam na solidão.";" triste"
"Em uma loja de antiguidades, objetos vintage contam histórias de épocas passadas.";" neutro"
"No centro de convenções, participantes de uma conferência discutem tópicos importantes.";" neutro"
"No parque de diversões deserto, palhaços de plástico sorridentes ficam sozinhos, sem risos para acompanhar.";" triste"
"O parque é um refúgio onde o silêncio da tristeza prevalece.";" triste"
"As estantes de livros na biblioteca estão organizadas, esperando por leitores em busca de conhecimento.";" neutro"
"Por mais que eu tente, a melancolia persiste.";" triste"
"Em um estúdio de dança contemporânea, os dançarinos exploram movimentos inovadores.";" neutro"
"Encontrei motivos para sorrir, mesmo na tristeza.";" feliz"
"No estúdio de fotografia, as câmeras estão paradas, refletindo a falta de demanda.";" triste"
"Na tristeza, descobri a verdadeira essência da alegria.";" feliz"
"Estou ouvindo um podcast informativo.";" neutro"
